Protein FDR Confidence Combined	Master	Accession	Description	% Coverage	# Peptides	# PSMs	# Unique Peptides	MW in kDa	Gene Symbol	Abundance 1161573	Abundance 1161574	Abundance 1161575	Abundance 1161576	Abundance 1161577	Abundance 1161578																																		
High	Master Protein	Q04206	Transcription factor p65 OS=Homo sapiens OX=9606 GN=RELA PE=1 SV=2	30	12	61	12	60.2	RELA	2.69E+07	2.32E+07	2.50E+07	1.69E+07	1.82E+07	2.21E+07																																		
High	Master Protein	P49721	Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1	66	9	61	9	22.8	PSMB2	8.54E+07	4.53E+07	9.54E+07	7.72E+07	6.23E+07	9.20E+07																																		
High	Master Protein	O00139	Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3	25	11	61	11	79.9	KIF2A	1.02E+07	8.98E+06	8.14E+06	6.60E+06	5.78E+06	6.94E+06																																		
High	Master Protein	Q96HY6	DDRGK domain-containing protein 1 OS=Homo sapiens OX=9606 GN=DDRGK1 PE=1 SV=2	45	9	61	9	35.6	DDRGK1	3.59E+07	1.85E+07	4.57E+07	3.29E+07	2.08E+07	2.31E+07																																		
High	Master Protein	Q709C8	Vacuolar protein sorting-associated protein 13C OS=Homo sapiens OX=9606 GN=VPS13C PE=1 SV=1	8	19	61	19	422.1	VPS13C	8.21E+06	4.98E+06	9.54E+06	1.58E+07	1.20E+07	1.07E+07																																		
High	Master Protein	Q9UHB6	LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1	25	16	61	16	85.2	LIMA1	9.95E+06	1.01E+07	9.83E+06	8.59E+06	8.77E+06	1.05E+07																																		
High	Master Protein	Q9UBU8	Mortality factor 4-like protein 1 OS=Homo sapiens OX=9606 GN=MORF4L1 PE=1 SV=2	47	12	61	9	41.4	MORF4L1	3.65E+07	2.56E+07	3.58E+07	2.59E+07	1.72E+07	1.80E+07																																		
High	Master Protein	Q9NZN3	EH domain-containing protein 3 OS=Homo sapiens OX=9606 GN=EHD3 PE=1 SV=2	33	13	61	1	60.8	EHD3	1.40E+05			8.36E+04	1.38E+05	1.67E+05																																		
High	Master Protein	Q6ZNJ1	Neurobeachin-like protein 2 OS=Homo sapiens OX=9606 GN=NBEAL2 PE=1 SV=2	12	16	61	16	302.3	NBEAL2	8.75E+06	3.72E+06	7.69E+06	5.57E+06	4.78E+06	5.10E+06																																		
High	Master Protein	Q9BZK7	F-box-like/WD repeat-containing protein TBL1XR1 OS=Homo sapiens OX=9606 GN=TBL1XR1 PE=1 SV=1	36	13	61	10	55.6	TBL1XR1	2.17E+07	1.96E+07	1.94E+07	1.46E+07	1.59E+07	1.54E+07																																		
High	Master Protein	Q9UKM7	"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN1B1 PE=1 SV=2"	35	15	61	15	79.5	MAN1B1	2.27E+07	1.57E+07	2.24E+07	1.26E+07	1.15E+07	1.28E+07																																		
High	Master Protein	Q9H583	HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3	12	17	61	17	242.2	HEATR1	1.70E+07	8.05E+06	1.97E+07	1.04E+07	1.03E+07	9.63E+06																																		
High	Master Protein	Q9BPW8	Protein NipSnap homolog 1 OS=Homo sapiens OX=9606 GN=NIPSNAP1 PE=1 SV=1	56	10	61	9	33.3	NIPSNAP1	7.45E+07	5.42E+07	7.04E+07	4.55E+07	5.12E+07	5.21E+07																																		
High	Master Protein	Q6P1N9	Deoxyribonuclease TATDN1 OS=Homo sapiens OX=9606 GN=TATDN1 PE=1 SV=2	53	14	61	14	33.6	TATDN1	3.53E+07	3.01E+07	3.48E+07	2.56E+07	2.47E+07	2.81E+07																																		
High	Master Protein	Q9Y376	Calcium-binding protein 39 OS=Homo sapiens OX=9606 GN=CAB39 PE=1 SV=1	44	15	61	13	39.8	CAB39	3.54E+07	2.91E+07	3.53E+07	3.76E+07	3.84E+07	3.37E+07																																		
High	Master Protein	Q9H9C1	Spermatogenesis-defective protein 39 homolog OS=Homo sapiens OX=9606 GN=VIPAS39 PE=1 SV=1	30	12	61	12	57	VIPAS39	1.58E+07	9.37E+06	1.26E+07	1.45E+07	1.67E+07	1.93E+07																																		
High	Master Protein	Q9Y2K7	Lysine-specific demethylase 2A OS=Homo sapiens OX=9606 GN=KDM2A PE=1 SV=3	18	16	61	16	132.7	KDM2A	1.71E+07	1.33E+07	1.53E+07	8.59E+06	8.16E+06	8.64E+06																																		
High	Master Protein	P22087	rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2	50	10	61	10	33.8	FBL	5.25E+07	4.18E+07	4.95E+07	2.76E+07	3.41E+07	2.74E+07																																		
High	Master Protein	Q6FI13	Histone H2A type 2-A OS=Homo sapiens OX=9606 GN=H2AC18 PE=1 SV=3	55	5	61	2	14.1	H2AC18; H2AC19	2.05E+08	1.17E+08	2.02E+08	1.33E+08	2.48E+08	1.29E+08																																		
High	Master Protein	Q9BQ67	Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=GRWD1 PE=1 SV=1	32	8	60	8	49.4	GRWD1	2.15E+07	1.28E+07	2.30E+07	1.55E+07	1.71E+07	1.52E+07																																		
High	Master Protein	P48739	Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2	65	14	60	11	31.5	PITPNB	3.43E+07	2.71E+07	3.46E+07	3.20E+07	2.87E+07	3.18E+07																																		
High	Master Protein	Q9Y394	Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens OX=9606 GN=DHRS7 PE=1 SV=1	51	11	60	11	38.3	DHRS7	2.70E+07	1.84E+07	3.08E+07	2.98E+07	3.59E+07	3.04E+07																																		
High	Master Protein	Q96Q11	"CCA tRNA nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=TRNT1 PE=1 SV=2"	32	11	60	11	50.1	TRNT1	3.19E+07	2.79E+07	3.25E+07	2.73E+07	2.58E+07	2.82E+07																																		
High	Master Protein	P49257	Protein ERGIC-53 OS=Homo sapiens OX=9606 GN=LMAN1 PE=1 SV=2	33	13	60	13	57.5	LMAN1	3.58E+07	2.98E+07	3.32E+07	2.37E+07	2.14E+07	2.46E+07																																		
High	Master Protein	Q8IX01	SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=2	23	14	60	14	120.1	SUGP2	8.91E+06	6.68E+06	1.03E+07	7.97E+06	7.78E+06	7.09E+06																																		
High	Master Protein	P49903	"Selenide, water dikinase 1 OS=Homo sapiens OX=9606 GN=SEPHS1 PE=1 SV=2"	44	10	60	10	42.9	SEPHS1	3.14E+07	2.25E+07	4.42E+07	2.73E+07	2.46E+07	3.29E+07																																		
High	Master Protein	P54819	"Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2"	61	10	60	10	26.5	AK2	1.78E+07	1.14E+07	2.04E+07	1.18E+07	1.37E+07	1.81E+07																																		
High	Master Protein	Q13098	COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4	32	11	60	11	55.5	GPS1	1.98E+07	1.90E+07	2.64E+07	1.83E+07	2.00E+07	2.13E+07																																		
High	Master Protein	Q9Y4K1	Beta/gamma crystallin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CRYBG1 PE=1 SV=3	17	17	60	17	188.6	CRYBG1	1.61E+07	1.23E+07	1.30E+07	6.90E+06	8.76E+06	6.10E+06																																		
High	Master Protein	P23919	Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4	62	12	60	12	23.8	DTYMK	7.37E+07	6.09E+07	6.77E+07	3.75E+07	3.81E+07	4.22E+07																																		
High	Master Protein	P00568	Adenylate kinase isoenzyme 1 OS=Homo sapiens OX=9606 GN=AK1 PE=1 SV=3	65	10	60	10	21.6	AK1	5.32E+07	4.38E+07	5.96E+07	2.43E+07	2.01E+07	2.42E+07																																		
High	Master Protein	Q96QC0	Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PPP1R10 PE=1 SV=1	22	14	60	14	99	PPP1R10	1.46E+07	9.09E+06	1.45E+07	1.28E+07	1.08E+07	1.24E+07																																		
High	Master Protein	O60832	H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3	39	14	60	14	57.6	DKC1	5.10E+07	3.69E+07	5.42E+07	6.66E+07	5.04E+07	4.99E+07																																		
High	Master Protein	Q9UBW8	COP9 signalosome complex subunit 7a OS=Homo sapiens OX=9606 GN=COPS7A PE=1 SV=1	38	8	60	8	30.3	COPS7A	1.54E+07	1.20E+07	1.29E+07	1.54E+07	1.31E+07	1.50E+07																																		
High	Master Protein	P42356	Phosphatidylinositol 4-kinase alpha OS=Homo sapiens OX=9606 GN=PI4KA PE=1 SV=4	10	16	60	16	236.7	PI4KA	1.12E+07	9.62E+06	1.07E+07	9.82E+06	9.21E+06	1.05E+07																																		
High	Master Protein	P14678	Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2	22	6	60	6	24.6	SNRPB	1.06E+08	7.69E+07	1.21E+08	7.51E+07	8.92E+07	8.23E+07																																		
High	Master Protein	O60762	Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=DPM1 PE=1 SV=1	47	9	60	9	29.6	DPM1	4.57E+07	4.76E+07	4.89E+07	2.61E+07	2.62E+07	3.38E+07																																		
High	Master Protein	P19784	Casein kinase II subunit alpha' OS=Homo sapiens OX=9606 GN=CSNK2A2 PE=1 SV=1	54	13	60	12	41.2	CSNK2A2	1.27E+07	6.98E+06	1.72E+07	1.65E+07	1.76E+07	1.92E+07																																		
High	Master Protein	Q13501	Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1	46	10	60	10	47.7	SQSTM1	2.48E+07	1.63E+07	1.57E+07	8.82E+06	1.61E+07	1.59E+07																																		
High	Master Protein	Q9UBW7	Zinc finger MYM-type protein 2 OS=Homo sapiens OX=9606 GN=ZMYM2 PE=1 SV=1	18	17	60	17	154.8	ZMYM2	1.75E+07	1.94E+07	1.90E+07	1.13E+07	1.35E+07	1.21E+07																																		
High	Master Protein	Q99986	Serine/threonine-protein kinase VRK1 OS=Homo sapiens OX=9606 GN=VRK1 PE=1 SV=1	37	12	60	12	45.4	VRK1	2.51E+07	2.51E+07	2.49E+07	1.36E+07	1.70E+07	1.53E+07																																		
High	Master Protein	P61254	60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1	49	10	60	2	17.2	RPL26	2.03E+08	1.84E+08	2.02E+08	1.52E+08	1.43E+08	1.51E+08																																		
High	Master Protein	Q9BW92	"Threonine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=TARS2 PE=1 SV=1"	23	12	60	12	81	TARS2	1.68E+07	1.15E+07	1.43E+07	1.19E+07	1.14E+07	1.36E+07																																		
High	Master Protein	Q13144	Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=3	28	12	60	12	80.3	EIF2B5	1.60E+07	1.21E+07	1.86E+07	1.13E+07	9.80E+06	1.22E+07																																		
High	Master Protein	Q9HB07	MYG1 exonuclease OS=Homo sapiens OX=9606 GN=MYG1 PE=1 SV=3	39	10	60	10	42.5	MYG1	4.29E+07	2.38E+07	3.65E+07	3.47E+07	3.74E+07	3.66E+07																																		
High	Master Protein	Q9P2R7	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLA2 PE=1 SV=3"	32	13	60	13	50.3	SUCLA2	4.51E+07	3.08E+07	4.52E+07	2.61E+07	2.91E+07	2.87E+07																																		
High	Master Protein	Q92552	"28S ribosomal protein S27, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS27 PE=1 SV=3"	37	11	60	11	47.6	MRPS27	3.07E+07	2.34E+07	3.44E+07	2.80E+07	2.72E+07	2.63E+07																																		
High	Master Protein	P38432	Coilin OS=Homo sapiens OX=9606 GN=COIL PE=1 SV=1	23	11	60	11	62.6	COIL	1.43E+07	1.45E+07	2.11E+07	1.86E+07	1.47E+07	1.57E+07																																		
High	Master Protein	Q9UNX3	60S ribosomal protein L26-like 1 OS=Homo sapiens OX=9606 GN=RPL26L1 PE=1 SV=1	49	10	60	2	17.2	RPL26L1	7.16E+06	6.80E+06	6.14E+06	8.90E+06	8.03E+06	9.45E+06																																		
High	Master Protein	P05556	Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2	28	15	60	15	88.4	ITGB1	4.19E+07	3.09E+07	4.15E+07	3.80E+07	3.37E+07	3.64E+07																																		
High	Master Protein	P20340	Ras-related protein Rab-6A OS=Homo sapiens OX=9606 GN=RAB6A PE=1 SV=3	47	8	60	7	23.6	RAB6A	6.67E+07	6.41E+07	6.06E+07	5.32E+07	4.97E+07	5.86E+07																																		
High	Master Protein	Q3KQV9	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Homo sapiens OX=9606 GN=UAP1L1 PE=1 SV=2	35	13	60	11	57	UAP1L1	2.33E+07	1.43E+07	2.41E+07	1.85E+07	2.21E+07	2.16E+07																																		
High	Master Protein	P99999	Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2	56	7	60	7	11.7	CYCS	1.19E+08	6.97E+07	8.94E+07	1.53E+08	8.75E+07	1.08E+08																																		
High	Master Protein	Q9UGI8	Testin OS=Homo sapiens OX=9606 GN=TES PE=1 SV=1	32	13	59	13	48	TES	1.10E+07	7.80E+06	1.17E+07	8.25E+06	8.53E+06	9.09E+06																																		
High	Master Protein	Q9BYG5	Partitioning defective 6 homolog beta OS=Homo sapiens OX=9606 GN=PARD6B PE=1 SV=1	35	9	59	9	41.2	PARD6B	3.67E+07	2.75E+07	2.85E+07	2.55E+07	2.35E+07	2.66E+07																																		
High	Master Protein	Q15631	Translin OS=Homo sapiens OX=9606 GN=TSN PE=1 SV=1	46	11	59	11	26.2	TSN	7.45E+07	4.88E+07	8.77E+07	4.08E+07	5.35E+07	5.46E+07																																		
High	Master Protein	Q96HP0	Dedicator of cytokinesis protein 6 OS=Homo sapiens OX=9606 GN=DOCK6 PE=1 SV=3	12	18	59	17	229.4	DOCK6	1.22E+07	9.13E+06	1.12E+07	1.16E+07	1.16E+07	1.13E+07																																		
High	Master Protein	Q96DI7	U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP40 PE=1 SV=1	53	12	59	12	39.3	SNRNP40	2.45E+07	2.14E+07	2.79E+07	1.77E+07	1.86E+07	1.96E+07																																		
High	Master Protein	P24941	Cyclin-dependent kinase 2 OS=Homo sapiens OX=9606 GN=CDK2 PE=1 SV=2	45	10	59	8	33.9	CDK2	2.38E+07	1.62E+07	2.13E+07	1.81E+07	1.12E+07	1.25E+07																																		
High	Master Protein	P49720	Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2	39	6	59	6	22.9	PSMB3	9.63E+07	6.52E+07	1.12E+08	9.33E+07	8.71E+07	9.01E+07																																		
High	Master Protein	P30405	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1"	43	7	59	6	22	PPIF	2.96E+07	3.10E+07	2.76E+07	4.60E+07	3.34E+07	3.32E+07																																		
High	Master Protein	P18615	Negative elongation factor E OS=Homo sapiens OX=9606 GN=NELFE PE=1 SV=3	47	12	59	12	43.2	NELFE	1.53E+07	1.30E+07	1.49E+07	9.41E+06	1.10E+07	8.18E+06																																		
High	Master Protein	Q8IVD9	NudC domain-containing protein 3 OS=Homo sapiens OX=9606 GN=NUDCD3 PE=1 SV=3	54	13	59	13	40.8	NUDCD3	1.16E+07	9.56E+06	1.35E+07	9.17E+06	8.32E+06	1.02E+07																																		
High	Master Protein	Q9UHY1	Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1	30	10	59	10	59.8	NRBP1	4.53E+07	2.28E+07	5.42E+07	5.16E+07	6.15E+07	3.38E+07																																		
High	Master Protein	Q08257	Quinone oxidoreductase OS=Homo sapiens OX=9606 GN=CRYZ PE=1 SV=1	54	12	59	12	35.2	CRYZ	1.91E+07	1.65E+07	2.02E+07	2.04E+07	1.88E+07	2.27E+07																																		
High	Master Protein	O15305	Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1	37	9	59	9	28.1	PMM2	3.21E+07	3.41E+07	3.21E+07	2.22E+07	2.31E+07	2.44E+07																																		
High	Master Protein	P35813	Protein phosphatase 1A OS=Homo sapiens OX=9606 GN=PPM1A PE=1 SV=1	38	12	59	10	42.4	PPM1A	2.10E+07	2.03E+07	1.86E+07	2.17E+07	2.08E+07	2.19E+07																																		
High	Master Protein	Q15404	Ras suppressor protein 1 OS=Homo sapiens OX=9606 GN=RSU1 PE=1 SV=3	55	9	59	9	31.5	RSU1	3.21E+07	1.78E+07	3.47E+07	1.71E+07	1.61E+07	2.34E+07																																		
High	Master Protein	O95865	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens OX=9606 GN=DDAH2 PE=1 SV=1"	62	11	59	10	29.6	DDAH2	2.81E+07	1.61E+07	2.95E+07	1.97E+07	1.78E+07	1.69E+07																																		
High	Master Protein	P62280	40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3	50	10	59	10	18.4	RPS11	2.18E+08	2.03E+08	2.15E+08	1.78E+08	1.92E+08	1.78E+08																																		
High	Master Protein	Q9UH62	Armadillo repeat-containing X-linked protein 3 OS=Homo sapiens OX=9606 GN=ARMCX3 PE=1 SV=1	43	11	59	11	42.5	ARMCX3	2.48E+07	2.05E+07	2.33E+07	1.70E+07	1.79E+07	1.92E+07																																		
High	Master Protein	Q8IU81	Interferon regulatory factor 2-binding protein 1 OS=Homo sapiens OX=9606 GN=IRF2BP1 PE=1 SV=1	27	12	59	12	61.6	IRF2BP1	1.17E+07	1.02E+07	1.68E+07	7.49E+06	8.73E+06	9.04E+06																																		
High	Master Protein	Q96S52	GPI transamidase component PIG-S OS=Homo sapiens OX=9606 GN=PIGS PE=1 SV=3	43	13	59	13	61.6	PIGS	2.03E+07	1.18E+07	2.64E+07	1.71E+07	6.48E+06	1.07E+07																																		
High	Master Protein	O60547	"GDP-mannose 4,6 dehydratase OS=Homo sapiens OX=9606 GN=GMDS PE=1 SV=1"	48	14	59	14	41.9	GMDS	2.21E+07	2.05E+07	2.12E+07	1.40E+07	1.64E+07	1.66E+07																																		
High	Master Protein	Q9NRY4	Rho GTPase-activating protein 35 OS=Homo sapiens OX=9606 GN=ARHGAP35 PE=1 SV=3	19	19	59	19	170.4	ARHGAP35	1.12E+07	7.72E+06	1.11E+07	1.38E+07	1.44E+07	1.35E+07																																		
High	Master Protein	Q15418	Ribosomal protein S6 kinase alpha-1 OS=Homo sapiens OX=9606 GN=RPS6KA1 PE=1 SV=2	22	12	59	7	82.7	RPS6KA1	1.06E+07	7.95E+06	9.12E+06	1.37E+07	9.13E+06	1.02E+07																																		
High	Master Protein	Q8NEZ5	F-box only protein 22 OS=Homo sapiens OX=9606 GN=FBXO22 PE=1 SV=1	45	11	59	11	44.5	FBXO22	1.54E+07	1.32E+07	1.66E+07	1.57E+07	1.82E+07	1.40E+07																																		
High	Master Protein	O60568	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 OS=Homo sapiens OX=9606 GN=PLOD3 PE=1 SV=1	37	19	59	19	84.7	PLOD3	2.74E+07	1.76E+07	2.64E+07	2.05E+07	2.36E+07	1.65E+07																																		
High	Master Protein	Q9UN37	Vacuolar protein sorting-associated protein 4A OS=Homo sapiens OX=9606 GN=VPS4A PE=1 SV=1	38	13	59	8	48.9	VPS4A	1.06E+07	1.37E+07	1.17E+07	1.01E+07	1.12E+07	1.31E+07																																		
High	Master Protein	Q969V3	Nicalin OS=Homo sapiens OX=9606 GN=NCLN PE=1 SV=2	25	12	59	12	62.9	NCLN	2.18E+07	1.50E+07	2.10E+07	1.70E+07	1.70E+07	1.69E+07																																		
High	Master Protein	P63000	Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens OX=9606 GN=RAC1 PE=1 SV=1	39	8	59	4	21.4	RAC1	1.19E+08	9.30E+07	1.07E+08	8.35E+07	1.14E+08	1.06E+08																																		
High	Master Protein	P10599	Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	57	6	59	6	11.7	TXN	6.06E+08	4.63E+08	5.42E+08	3.43E+08	3.49E+08	3.61E+08																																		
High	Master Protein	O75439	Mitochondrial-processing peptidase subunit beta OS=Homo sapiens OX=9606 GN=PMPCB PE=1 SV=2	34	11	59	11	54.3	PMPCB	3.69E+07	2.70E+07	3.31E+07	2.14E+07	2.18E+07	2.33E+07																																		
High	Master Protein	Q9Y2T2	AP-3 complex subunit mu-1 OS=Homo sapiens OX=9606 GN=AP3M1 PE=1 SV=1	50	13	59	11	46.9	AP3M1	2.72E+07	2.42E+07	2.73E+07	2.12E+07	2.24E+07	2.50E+07																																		
High	Master Protein	P14324	Farnesyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=4	22	8	59	8	48.2	FDPS	9.37E+07	8.88E+07	8.44E+07	7.19E+07	6.87E+07	7.13E+07																																		
High	Master Protein	Q5K4L6	Solute carrier family 27 member 3 OS=Homo sapiens OX=9606 GN=SLC27A3 PE=1 SV=4	34	12	59	12	73.5	SLC27A3	1.43E+07	9.65E+06	1.52E+07	9.53E+06	1.06E+07	1.18E+07																																		
High	Master Protein	Q9UI26	Importin-11 OS=Homo sapiens OX=9606 GN=IPO11 PE=1 SV=1	23	13	59	13	112.5	IPO11	8.90E+06	2.26E+07	1.04E+07	6.91E+06	5.43E+06	6.71E+06																																		
High	Master Protein	Q9UHL4	Dipeptidyl peptidase 2 OS=Homo sapiens OX=9606 GN=DPP7 PE=1 SV=3	39	13	58	13	54.3	DPP7	1.36E+07	9.72E+06	1.61E+07	1.63E+07	1.57E+07	1.60E+07																																		
High	Master Protein	Q6PGP7	Tetratricopeptide repeat protein 37 OS=Homo sapiens OX=9606 GN=TTC37 PE=1 SV=1	12	12	58	12	175.4	SKIC3	1.34E+07	7.28E+06	2.36E+07	1.56E+07	1.77E+07	1.89E+07																																		
High	Master Protein	Q92734	Protein TFG OS=Homo sapiens OX=9606 GN=TFG PE=1 SV=2	33	9	58	9	43.4	TFG	5.40E+07	4.57E+07	4.99E+07	3.68E+07	3.58E+07	3.31E+07																																		
High	Master Protein	Q9H1B7	Probable E3 ubiquitin-protein ligase IRF2BPL OS=Homo sapiens OX=9606 GN=IRF2BPL PE=1 SV=1	30	16	58	14	82.6	IRF2BPL	1.80E+07	1.54E+07	1.99E+07	1.12E+07	1.33E+07	1.29E+07																																		
High	Master Protein	Q9Y2L1	Exosome complex exonuclease RRP44 OS=Homo sapiens OX=9606 GN=DIS3 PE=1 SV=2	23	15	58	15	108.9	DIS3	1.83E+07	1.41E+07	1.93E+07	1.18E+07	1.25E+07	1.21E+07																																		
High	Master Protein	P52948	Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4	14	18	58	18	197.5	NUP98	9.80E+06	6.73E+06	9.67E+06	7.97E+06	9.13E+06	8.61E+06																																		
High	Master Protein	P30044	"Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4"	55	9	58	9	22.1	PRDX5	6.91E+07	5.67E+07	8.52E+07	3.35E+07	4.90E+07	6.34E+07																																		
High	Master Protein	O95302	Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Homo sapiens OX=9606 GN=FKBP9 PE=1 SV=2	23	10	58	10	63	FKBP9	2.08E+07	1.79E+07	2.64E+07	1.77E+07	1.78E+07	1.53E+07																																		
High	Master Protein	Q9Y4P1	Cysteine protease ATG4B OS=Homo sapiens OX=9606 GN=ATG4B PE=1 SV=2	38	11	58	11	44.3	ATG4B	1.86E+07	1.45E+07	2.28E+07	1.27E+07	1.64E+07	1.64E+07																																		
High	Master Protein	Q6YN16	Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens OX=9606 GN=HSDL2 PE=1 SV=1	55	14	58	14	45.4	HSDL2	2.83E+07	1.80E+07	2.58E+07	1.11E+07	1.06E+07	1.38E+07																																		
High	Master Protein	Q9NW13	RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3	22	13	58	13	85.7	RBM28	1.86E+07	1.61E+07	1.77E+07	1.29E+07	1.42E+07	1.63E+07																																		
High	Master Protein	Q9UKF6	Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=1	32	13	58	13	77.4	CPSF3	1.78E+07	1.14E+07	1.76E+07	1.15E+07	1.03E+07	8.87E+06																																		
High	Master Protein	O00469	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2"	23	14	58	14	84.6	PLOD2	1.70E+07	1.12E+07	1.90E+07	7.74E+06	8.78E+06	8.30E+06																																		
High	Master Protein	Q9NTJ5	Phosphatidylinositol-3-phosphatase SAC1 OS=Homo sapiens OX=9606 GN=SACM1L PE=1 SV=2	26	12	58	12	66.9	SACM1L	1.83E+07	1.69E+07	2.27E+07	1.54E+07	1.75E+07	2.10E+07																																		
High	Master Protein	Q8IXT5	RNA-binding protein 12B OS=Homo sapiens OX=9606 GN=RBM12B PE=1 SV=2	18	15	58	15	118	RBM12B	1.92E+07	1.06E+07	2.11E+07	1.35E+07	1.36E+07	1.96E+07																																		
High	Master Protein	Q15392	Delta(24)-sterol reductase OS=Homo sapiens OX=9606 GN=DHCR24 PE=1 SV=2	27	10	58	10	60.1	DHCR24	3.63E+07	3.22E+07	4.17E+07	4.05E+07	4.24E+07	4.22E+07																																		
High	Master Protein	O00303	Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1	48	12	58	12	37.5	EIF3F	3.50E+07	2.75E+07	4.56E+07	2.29E+07	1.96E+07	2.72E+07																																		
High	Master Protein	P67812	Signal peptidase complex catalytic subunit SEC11A OS=Homo sapiens OX=9606 GN=SEC11A PE=1 SV=1	54	8	58	8	20.6	SEC11A	5.76E+07	3.42E+07	5.05E+07	6.41E+07	6.05E+07	7.22E+07																																		
High	Master Protein	P51116	Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2	31	14	58	11	74.2	FXR2	1.52E+07	1.57E+07	1.78E+07	1.18E+07	1.02E+07	1.45E+07																																		
High	Master Protein	P17301	Integrin alpha-2 OS=Homo sapiens OX=9606 GN=ITGA2 PE=1 SV=2	23	17	58	17	129.2	ITGA2	7.82E+06	5.81E+06	6.62E+06	1.43E+07	1.37E+07	1.26E+07																																		
High	Master Protein	Q9UQ16	Dynamin-3 OS=Homo sapiens OX=9606 GN=DNM3 PE=1 SV=4	14	13	58	1	97.7	DNM3	7.65E+05	8.62E+05	7.58E+05	4.73E+05	1.67E+06	8.85E+05																																		
